Station Name, Latitude, Longitude
Amurang Timur Hub, -6, 106
Seginim Hub, -4.460882, 102.982624
Pangale Hub, -6, 106
Moyo Hulu Hub, -6, 106
Marga Hub, -8.489012, 115.169483
Mandalle Hub, -6, 106
Labakkang Hub, -6, 106
Koto XI Tarusan 2 Hub, -6, 106
Bunaken Hub, -6, 106
Tripa Makmur Hub, 3.925639, 96.422207
Tapalang Hub, -2.883492, 118.885092
Tadu Raya Hub, 4.096347, 96.40079
Sukawati 2 First Mile Hub, -6, 106
Simpang Renggiang Hub, -2.873364, 108.045802
Simboro Dan Kepulauan 2 Hub, -2.659914, 118.850207
Seluma Barat Hub, -4.033547, 102.523741
Pulau Tiga Hub, -6, 106
Poli - Polia Hub, -6, 106
Parangloe Hub, -5.246254, 119.651779
Muara Sugihan Hub, -6, 106
Lembah Gumanti 2 Hub, -1.083562, 100.87752
Karang Tengah Kab. Demak 2 Hub, -6.92254, 110.597794
Denpasar Barat Hub, -6, 106
Curugkembar Hub, -7.212902, 106.909139
Comal 2 Hub, -6.913319, 109.5334
Comal 2 First Mile Hub, -6.913319, 109.5334
Bungaya Hub, -6, 106
Biringbulu Hub, -5.433554, 119.754836
Binongko Hub, -6, 106
Airpura Hub, -6, 106
Rantetayo Hub, -3.039722, 119.818139
Sambaliung 2 Hub, 2, 117
Pakis Malang 2 Hub, -7, 112
Negeri Besar Hub, -4.413295, 104.891131
Medang Kampai Hub, 1.631955, 101.561704
Lambuya Hub, -3, 122
Kembaran 2 Hub, -7.42507, 109.286252
Danau Sembuluh Hub, -2, 112
Ciputat 6 Hub, -6.302906, 106.743614
Cijeungjing Hub, -7.325775, 108.382039
Bluluk Hub, -7, 112
Yosowilangun 2 Hub, -8.215739, 113.303639
Teweh Baru Hub, -0.948128, 114.9022
Teluk Pandan Hub, 0.128788, 117.416047
Tegalwaru Purwakarta Hub, -6.672583, 107.356722
Tawaeli Hub, -0.733987, 119.86583
Sukaraja 4 Hub, -6.514462, 106.789297
Silou Kahean Hub, 3, 98
Sempor Hub, -7.586915, 109.496729
Seberang Ulu II 2 Hub, -2.998703, 104.803796
Sanga - Sanga Hub, -0.670512, 117.23056
Samarinda Utara 3 Hub, -0.3777, 117.2639
Rantau Utara 2 Hub, 2.101417, 99.815667
Payaraman 2 Hub, -3, 104
Pagar Jati Hub, -3, 102
Lubuk Kilangan 2 Hub, -0.964496, 100.44352
Lahei Barat Hub, -0.7949, 114.8914
Kundur Barat Hub, 0.758538, 103.356578
Kuala Cenaku Hub, -0.455522, 102.67383
Kotawaringin Lama 3 Hub, -2, 111
Kiarapedes Hub, -6.681333, 107.574667
Karanggayam Hub, -7.592416, 109.578959
Karang Intan Hub, -3, 114
Gunung Kerinci Hub, -1.905917, 101.296111
Gunung Guruh Hub, -6.935502, 106.899302
Durai Hub, 0.504313, 103.613391
Cisarua Bogor 2 Hub, -6, 106
Cibeunying Kidul 2 Hub, -6.906043, 107.648014
